sdg,abstract,id,sdg_desc_short,sdg_desc_long
16,"This chapter places the fundamental principles of civil justice under four headings: (1) regulating access to court and to justice, (2) ensuring the fairness of process as a shared responsibility of the court and the parties, (3) maintaining a speedy and efficient process, and (4) achieving just outcomes. It shows how Article 6(1) of the European Convention on Human Rights, now directly applicable in English courts through the Human Rights Act 1998, has contributed to the development of these principles. Among topics covered are: the duty to give a reasoned judgment, abolition of the House of Lords (Judicial) and the creation of the Supreme Court of the United Kingdom. There is also consideration of the ALI/UNIDROIT Principles of Transnational Civil Procedure (2006).",,,
12,"The sustainable business ecosystem is a scenario in which organizations proactively align their business strategies and operations with the long-term economic, social and environmental objectives of the community. The ecosystem helps organizations meet the obligations of stakeholders as well as the expectations of shareholders. The sustainable business ecosystem is also based on the triple bottom line and creating shared value amongst shareholders and stakeholders.",,,
14,"One of the most serious gaps in the implementation of relevant outcomes of the major summits on sustainable development is in the area of fisheries. Although countries agreed in the Johannesburg Plan of Implementation to restore global fish stocks to sustainable levels by 2015, stocks continue to be fished at increasingly unsustainable levels. To address this problem, States should recommit to maintaining or restoring depleted fish stocks to sustainable levels, and should further commit to implementing science-based management plans for rebuilding stocks by 2015, including reducing or suspending fishing catch for all stocks being overfished or at risk of being overfished.",,,
10,"The technique assumes in particular, that the conditional quantile of an individual remains the same when his/her characteristics change. Since this assumption may well not hold in practice, the results of conditional quantile regressions must be interpreted with caution (Koenker, 2005). Unconditional quantile regressions, by contrast, allow estimating the effect of a small change in workers’ characteristics on each quantile of the overall distribution. Since UQRs allow assessing the impact of a particular variable on overall earnings inequality, they are also more suitable than CQRs in the context of this article and are thus used as the baseline method.",,,
9,"After initially focusing on energy and infrastructure, the project later expanded to address trade, manufacturing, the Internet and tourism. It has two main segments. The first is the Silk Road Economic Belt, which includes land corridors connecting China with different parts of Asia, the Middle East and Europe.",,,
15,"Integrative research efforts at the boundary of biodiversity and global change research Global environmental change and biodiversity loss are closely linked through different feedback mechanisms. The University of Zurich Research Priority Programme on ‘Global Change and Biodiversity’ approach is to work with interdisciplinarity and transdisciplinarity to integrate mechanisms of interactions, feedback and scale and improve our understanding of the feedbacks between global change and biodiversity effects. Such work across research disciplines is not without its challenges. Here we share some of the questions that arose from our research approach over the last five years and how we addressed these challenges. First, our transdisciplinary approach allows combining different disciplines into a more holistic perspective towards integrative research, but demands collaborative work to establish common terminology, concepts, and metrics. Second, the research theme's common perspective (biodiversity is desirable, global change is not) may also induce a confirmation bias from preconceived ideas. Third, new challenges emerge from scaling mechanisms and feedbacks at different spatial and temporal scales. Fourth, we investigate how to relate biodiversity, global change, ecosystem services and functions using interdisciplinary approaches. Fifth, we identify gaps between existing experiments and data requirements, and propose the definition of new experimental setups by linking processes and performing experiments at typical experimental scales as well as at larger scales. We conclude by emphasising the necessity to integrate theory, experiments, modelling and simulation, high performance computing and big data to understand feedbacks between biodiversity loss and processes of global change.",oai:www.zora.uzh.ch:151858,Life on Land,"Aims to protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss."
10,"It then explores ways in which location, ethnidty, gender or age may have shaped disparities in well-being outcomes. While recent growth performance has been assodated with an increase in household consumption and a remarkable decline in consumption poverty, there are important questions about overall income inequality, distribution of income growth and the employment content of growth. The OECD defines inclusive growth in broad terms encompassing not only fair distribution of income growth, but also shared progress in other non-income dimensions of well-being.",,,
14,"It is clear that, in terms of fisheries rebuilding, the ecosystem approach requires policy makers to take into account of the impacts of fishing on ecosystems, the impacts of ecosystems on fishing, and the interactions between fish and other species in the ecosystem. In particular, fisheries rebuilding has been the subject of several major international commitments on developing sustainable fisheries and it is universally recognized as necessary for protecting biodiversity and the health of oceans, as well being important from an economic and social perspective for many coastal communities. As such, while it is universally recognized that rebuilding and maintaining robust fisheries are desired, there are other factors considered in the management process in addition to the science advice. To that end, political commitments have been made through a series of hard (binding) and soft laws (non binding).",,,
5,"The ""end of men"" and rise of women in the high-skilled labor market We document a new finding regarding changes in labor market outcomes for high-skilled men and women in the US. Since 1980, conditional on being a college-educated man, the probability of working in a cognitive/high-wage occupation has fallen. This contrasts starkly with the experience for college-educated women: their probability of working in these occupations rose, despite a much larger increase in the supply of educated women relative to men. We show that one key channel capable of rationalizing these findings is a greater increase in the demand for female-oriented skills in cognitive/high-wage occupations relative to other occupations. Using occupation-level data, we find evidence that this relative increase in the demand for female skills is due to an increasing importance of social skills within such occupations. Evidence from both male and female wages is also indicative of an increase in the demand for social skills. Finally, we document how these patterns change across the early and latter portions of the period.",oai:www.zora.uzh.ch:167239,Gender Equality,Aims to achieve gender equality and empower all women and girls.
12,"Impact type indicators could include, for example, GHG emissions gains from prevented food waste. However, such indicators requires information on the detailed composition of food waste which would need considerable additional survey work. Extra care needs to be paid to the nature of the indicator and the objective outcomes that it is expected to measure.",,,
4,"Nearly 3 out of 10 adults in these countries performs at or below the lowest level of proficiency (Level 1) in both literacy and numeracy. Indeed, a closer look at the results reveals that more than nine-tenths of the overall variation in literacy skills observed through the survey lies within, rather than between, countries. In fact, in all but one participating country, at least one in ten adults is proficient only at or below Level 1 in literacy or numeracy.",,Quality Education,
12,"For example, all companies use scarce natural resources, such as water, air, energy, materials and land, which affects the availability of these resources for future generations. The use of human resources and development of human capital is another key concern. Therefore, stakeholders should be informed about progress in achieving a rational utilization of such resources.",,,
7,"Adaptive home heating under weather and price uncertainty using GPs and MDPs We consider the problem of adaptive home heating in the smart grid, assuming that real-time electricity prices are being exposed to end-users with the goal of realizing demand-side management. To lower the burden on the end-users, our goal is the design of a smart thermostat that automatically heats the home, optimally trading o the user’s comfort and cost. This is a challenging problem due to two sources of uncertainty: future weather conditions and future electricity prices. Our main technical contribution is a general technique that uses predictive distributions obtained from Gaussian Process (GP) regressions to compute the state transition probabilities of an MDP, such that the solution to the resulting MDP constitutes a sequentially optimal policy. We apply this general approach to the home-heating problem, where we use the predictive distributions of the GPs for the day-ahead external temperatures and electricity prices. The solution to the home-heating MDP constitutes an optimal heating policy that maximizes the user’s utility given the probability information gathered by the Gaussian process model. Via simulations we show that our MDP-based approach outperforms various benchmarks, especially for cost-sensitive users.",oai:www.zora.uzh.ch:99859,Affordable and Clean Energy,"Aims to ensure access to affordable, reliable, sustainable, and clean energy for all."
14,"Korea also has FTAs with Singapore, EFTA (The European Free Trade Association, Iceland, Liechtenstein, Norway, Switzerland), European Union, and United States. In 2012, Korea signed a FTA with Colombia. As of July 2014, Korea is pursuing negotiations with Viet Nam, Indonesia, and China. The FTA with China in particular is expected to have a large impact on the Korean fisheries industry.",,,
15,"Density feedbacks mediate effects of environmental change on population dynamics of a semidesert rodent Population dynamics are the result of an interplay between extrinsic and intrinsic environmental drivers. Predicting the effects of environmental change on wildlife populations therefore requires a thorough understanding of the mechanisms through which different environmental drivers interact to generate changes in population size and structure. In this study, we disentangled the roles of temperature, food availability and population density in shaping short‐ and long‐term population dynamics of the African striped mouse, a small rodent inhabiting a semidesert with high intra‐ and interannual variation in environmental conditions. We parameterized a female‐only stage‐structured matrix population model with vital rates depending on temperature, food availability and population density, using monthly mark–recapture data from 1609 mice trapped over 9 years (2005–2014). We then applied perturbation analyses to determine relative strengths and demographic pathways of these drivers in affecting population dynamics. Furthermore, we used stochastic population projections to gain insights into how three different climate change scenarios might affect size, structure and persistence of this population. We identified food availability, acting through reproduction, as the main driver of changes in both short‐ and long‐term population dynamics. This mechanism was mediated by strong density feedbacks, which stabilized the population after high peaks and allowed it to recover from detrimental crashes. Density dependence thus buffered the population against environmental change, and even adverse climate change scenarios were predicted to have little effect on population persistence (extinction risk over 100 years <5%) despite leading to overall lower abundances. Explicitly linking environment–demography relationships to population dynamics allowed us to accurately capture past population dynamics. It further enabled establishing the roles and relative importances of extrinsic and intrinsic environmental drivers, and we conclude that doing this is essential when investigating impacts of climate change on wildlife populations.",oai:www.zora.uzh.ch:168420,Life on Land,"Aims to protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss."
9,"Section B has demonstrated that sectors differ significantly in their dependence on digital technologies, and has provided rankings of sectors according to their digital intensity. These rankings show that services sectors, with the exception of construction and transport, tend to use digital technology more intensively than manufacturing and agriculture sectors. Within manufacturing, the transport equipment and electronics sectors stand out as digital-intensive, which is mirrored in data from the International Federation of Robots, which show that the automotive industry uses a significant number of robots and is likely to benefit from progress in smart robotics.",,,
8,"However, youth need to recognize that part-time work in their field or entry-level jobs for which they may feel overqualified can be important steps on the pathway towards long-term career development and, as such, can arguably be considered decent work. Internships and apprenticeships, in particular, may only offer low-wage or part-time employment but can provide youth with valuable job experience as new entrants, as well as on-the-job training and skills development that will serve them well as they build their skill sets and careers. Young people who are not financially secure are pushed into temporary, seasonal and part-time work to meet their basic needs (ILO, 2016).",,,
3,"Epidemiology of Taenia saginata taeniosis/cysticercosis: a systematic review of the distribution in central and western Asia and the Caucasus BACKGROUND: The zoonotic parasite Taenia saginata transmits between humans, the definitive host (causing taeniosis), and bovines as the intermediate host (causing cysticercosis). Central and western Asia and the Caucasus have large cattle populations and beef consumption is widespread. However, an overview of the extent of human T. saginata infection and bovine cysticercosis is lacking. This review aims to summarize the distribution of T. saginata in this region. METHODS: A systematic review was conducted, that gathered published and grey literature, and official data concerning T. saginata taeniosis and bovine cysticercosis in central and western Asia and the Caucasus published between January 1st, 1990 and December 31st, 2018. Where no data were available for a country within this period, published data from 1985-1990 were also accessed. RESULTS: From 10,786 articles initially scanned, we retrieved 98 full-text articles from which data were extracted. In addition, two unpublished datasets were provided on the incidence of human taeniosis. Data for human taeniosis and bovine cysticercosis were found for all countries except Turkmenistan. Human taeniosis prevalence varied from undetected to over 5.3%, with regional variations. Where bovine cysticercosis was detected, prevalences varied from case reports to 25%. CONCLUSIONS: The public health burden of T. saginata is assumed to be small as the parasite is of low pathogenicity to humans. However, this review indicates that infection continues to be widespread and this may result in a large economic burden, due to the resources utilized in meat inspection and condemnation or processing with subsequent downgrading of infected carcasses.",oai:www.zora.uzh.ch:170443,Good Health and Well-being,Aims to ensure healthy lives and promote well-being for all at all ages.
8,"A global view of productivity growth in China How does a country's productivity growth affect worldwide real incomes through international trade? In this paper, we take this classic question to the data by measuring the spillover effects of China's productivity growth. Using a quantitative trade model, we first estimate China's productivity growth between 1995 and 2007 and then isolate what would have happened to real incomes around the world if only China's productivity had changed. We find that the spillover effects are small for all countries in our sample, ranging from a cumulative real income loss of at most −0.2% to a cumulative real income gain of at most 0.2%.",oai:www.zora.uzh.ch:136051,Decent Work and Economic Growth,"Aims to promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all."
7,"According to the IEA/NEA 2010 Projected Cost study, load factors in OECD countries vary between 22% (Italy) and 41% (United States) for wind and between 10% (Netherlands) and 25% (France) for solar photovoltaic (PV). Assuming an entirely realistic average load factor for wind-power turbines of 25%, this means that the share of wind on windy days is four-fold its average figure. This means, for instance, that the Danish system can only be balanced by being closely integrated with the Nordpool electricity market with its ideal balancing conditions due to the almost exclusive reliance on hydropower by Norway.",,,
16,"Developmental predictors of violent extremist attitudes: A test of general strain theory among a sample of Swiss youth Objectives: This study examines the influence of collective strain on support for violent extremism among an ethnically diverse sample of Swiss adolescents. This study explores two claims derived from general strain theory: (1) Exposure to collective strain is associated with higher support for violent extremism and (2) the effect of collective strain is conditional on perceptions of moral and legal constraints. Methods: This study uses data from two waves of the Zurich Project on the Social Development of Children and Youth. We use ordinary least squares procedures to regress violent extremist attitudes at age 17 on strain, moral and legal constraints, and control variables measured at ages 15 to 17. Conditional effects were examined using an interaction term for collective strain and moral neutralization and legal cynicism, respectively. Results: The results show that collective strain does not have a direct effect on violent extremist attitudes once other variables are controlled. However, the degree to which individuals neutralize moral and legal constraints amplifies the impact of collective strain on violent extremist attitudes. Conclusions: This study shows that those who already espouse justifications for violence and rule breaking are more vulnerable to extremist violent pathways, particularly when exposed to collective social strife, conflict, and repression. once other variables are controlled. However, the degree to which individuals neutralize moral and legal constraints amplifies the impact of collective strain on violent extremist attitudes. Conclusions: This study shows that those who already espouse justifications for violence and rule breaking are more vulnerable to extremist violent pathways, particularly when exposed to collective social strife, conflict, and repression.",oai:www.zora.uzh.ch:166458,Peace and Justice Strong Institutions,"Aims to promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels."
6,"These processes are essential to the functioning of the natural environment and as a result, water stress can arise when the amount of water in the environment is insufficient for natural environmental processes to function and deliver the services on which people, flora and fauna depend. Typically, “environmental water requirements” are treated as a residual (King and Brown 2011), and as a result, the lack of water available for environmental needs is creating serious environmental problems. For instance, due to extensive water extractions, some large rivers in semi-arid locations, such as the Colorado and the Murray, only intermittently reach the sea (King and Brown, 2011), and the reduced flows in rivers and water volumes in lakes and wetlands has had a major negative impact on ecosystems. This transformation has also greatly reduced the water quality of the remaining water making it much more saline.",,,
11,"In the case of international research, it is essential that data are comparable or are made comparable. This leads to the conclusion that it is advisable to pursue harmonization of road safety data. This starts with definitions to be used (e.g. the 30-day definition of a road death) and also involves the harmonisation of methodologies for data collection (e.g. when collecting data about Safety Performance Indicators). In every case of international comparisons, comparability of data has to be ascertained.",,,
7,"Recent research confirms that large numbers of premature deaths are due to air pollution linked to small particles and mercury in emissions from coal-fired power plants. There is preliminary evidence that women, children and older adults are particularly vulnerable to PM10 and to PM25 (particulate matter 10 and 2.5 micrometres or less in diameter) (Villeneuve et al. Replacing polluting fossil fuels with renewable energy sources can reduce premature mortality and the number of lost workdays, thereby lowering overall healthcare costs (Machol and Rizk 2013).",,,
15,"Navigating the complexity of ecological stability Human actions challenge nature in many ways. Ecological responses are ineluctably complex, demanding measures that describe them succinctly. Collectively, these measures encapsulate the overall ‘stability’ of the system. Many international bodies, including the Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services, broadly aspire to maintain or enhance ecological stability. Such bodies frequently use terms pertaining to stability that lack clear deﬁnition. Consequently, we cannot measure them and so they disconnect from a large body of theoretical and empirical understanding. We assess the scientiﬁc and policy literature and show that this disconnect is one consequence of an inconsistent and one-dimensional approach that ecologists have taken to both disturbances and stability. This has led to confused communication of the nature of stability and the level of our insight into it. Disturbances and stability are multi-dimensional. Our understanding of them is not. We have a remarkably poor understanding of the impacts on stability of the characteristics that deﬁne many, perhaps all, of the most important elements of global change. We provide recommendations for theoreticians, empiricists and policymakers on how to better integrate the multidimensional nature of ecological stability into their research, policies and actions.",oai:www.zora.uzh.ch:129396,Life on Land,"Aims to protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss."
6,"While the focus of this module has been on technologies, the biggest lever in water and energy conservation is conservation itself. This is where public engagement and technology and knowledge transfer efforts are most effective. Having a common database among sectors is another way to create synergies and promote productive negotiations.",,,
2,"Investment in the highly mechanised sugarcane plantations is expected to increase during the outlook period, leading to marginal yield improvements which nonetheless, do not reach previous peaks. Similarly, oilseed yields are not expected to improve substantially in the course of the next ten years. In contrast, productivity gains in cereals - coarse grains, wheat and rice - increase substantially, while cotton yields increase more moderately (Figure 2.7). Currently, Brazil is the second largest producer behind the United States but during the outlook period, the difference is expected to narrow as soybean production in Brazil will continue to expand.",,,
13,"For example, some climate funds focus on adaptation, some on mitigation, some on specific geographical regions. This means that it would be challenging to distil a common definition of climate finance effectiveness. For example, climate finance that is also ODA is required, by definition, to promote the economic development and welfare of developing countries (as well as leading to climate benefits). Thus, existing approaches and frameworks in use to assess effectiveness at the level of specific interventions are often multi-dimensional. The range of objectives of different sources and channels of climate finance can also influence assessments of climate finance effectiveness. This is because managing the results of an intervention to meet multiple goals (e.g. carbon sequestration, improved local livelihoods, increased biodiversity) may lead to different choices in allocating climate finance to specific intervention types and/or locations than managing an intervention to maximise an individual goal (e.g. carbon sequestration).",,,
15,"Interactive life-history traits predict sensitivity of plants and animals to temporal autocorrelation Temporal autocorrelation in demographic processes is an important aspect of population dynamics, but a comprehensive examination of its effects on different life-history strategies is lacking. We use matrix population models from 454 plant and animal populations to simulate stochastic population growth rates (log λs) under different temporal autocorrelations in demographic rates, using simulated and observed covariation among rates. We then test for differences in sensitivities, or changes of log λs to changes in autocorrelation among two major axes of life-history strategies, obtained from phylogenetically informed principal component analysis: the fast-slow and reproductive-strategy continua. Fast life histories exhibit highest sensitivities to simulated autocorrelation in demographic rates across reproductive strategies. Slow life histories are less sensitive to temporal autocorrelation, but their sensitivities increase among highly iteroparous species. We provide cross-taxonomic evidence that changes in the autocorrelation of environmental variation may affect a wide range of species, depending on complex interactions of life-history strategies.",oai:www.zora.uzh.ch:147801,Life on Land,"Aims to protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss."
14,"The 2030 Agenda also sets aims for the contribution and conduct of fisheries and aquaculture towards food security and nutrition, and the sector's use of natural resources, in a way that ensures sustainable development in economic, social and environmental terms, within the context of the FAO Code of Conduct for Responsible Fisheries (FAO, 1995). A major challenge to implementation of the 2030 Agenda is the sustainability divide between developed and developing countries which has partially resulted from increased economic interdependencies, coupled with limited management and governance capacity in developing countries. To eliminate this disparity while making progress towards the target for restoration of overfished stocks set by the 2030 Agenda, the global community needs to support developing nations to achieve their full fisheries and aquaculture potential. The total first sale value of fisheries and aquaculture production in 2016 was estimated at USD 362 billion, of which USD 232 billion was from aquaculture production. In per capita terms, food fish consumption grew from 9.0 kg in 1961 to 20.2 kg in 2015, at an average rate of about 1.5 percent per year. Preliminary estimates for 2016 and 2017 point to further growth to about 20.3 and 20.5 kg, respectively.",,,
7,"Alongside these, both the EU and the United States have sought unilateral trade remedies to alleged dumping and subsidisation by foreign suppliers. An EC procedure was for example started in June 2008 on the initiative of the European Biodiesel Board, resulting in the imposition (under Commission Regulation in 2009) of a provisional anti-dumping duty on imports of biodiesel originating in the United States. Such duties levied by the EC have gone unchallenged to date.",,,
5,"Women in rural areas generally lack awareness of licensing processes, which are often complicated, and in a number of MENA economies home-based businesses cannot be registered or obtain a licence. For example, in the UAE, many municipalities require proof of a leased business location before granting a business licence. This prevents women from starting a home-based enterprise (while there is evidence that this would be the choice of many traditional Emirati women).",,,
11,"However, using FUAs instead of administrative data suggests that, while medium-size cites are indeed larger than expected, Almaty’s size is not lower than it should be under Zipfs Law. Almaty’s FUA is indeed much larger than the population of Almaty City alone (see Table 1.3). Overall, the city size distribution of Kazakhstan’s FUAs conforms better to Zipf s Law than statutory cities, both in 1999 and in 2009.",,,
6,"Functional silver-silicone-nanofilament-composite material for water disinfection The roughness of superhydrophobic silicone nanofilaments (SNFs) is exploited to enlarge the contact area of conventional filter material. As an efficient wetting of the filter material is crucial for water treatment, the wettability of SNFs is readily modified from superhydrophobic to hydrophilic during the functionalization process. SNFs are coated on glass beads and subsequently modified with biocidal silver nanoparticles (AgNPs). The enlarged surface area of SNFs allows a 30 times higher loading of AgNPs in comparison to glass beads without SNF coating. Thus, in column experiments, the AgNP-SNF-nanocomposite-modified glass beads exert superior antibacterial activity towards suspensions of E. coli K12 compared to AgNP functionalized glass beads without SNFs. Additionally, reusing the AgNP-SNF-nanocomposite-coated glass beads with fresh bacteria contaminated medium increases their efficacy and reduces the colony forming units by ≈6 log units. Thereby, the silver loss during percolation is below 0.1 μg mL−1. These results highlight, first, the potential of AgNP-SNF-nanocomposite-modified glass beads as an effective filter substrate for water disinfection, and second, the efficiency of SNF coating in increasing the contact area of conventional filter material.",oai:www.zora.uzh.ch:131354,Clean Water and Sanitation,Aims to ensure availability and sustainable management of water and sanitation for all.
5,"Gender bias in media coverage of election campaigns We study gender bias in media coverage of candidates during election campaigns. Our analysis focuses on the 2015 Swiss national elections and relies on an almost comprehensive sample of print and online news items covering the full duration of the campaign, including over 200,000 documents from 70 sources and all 3,927 candidates. First, we analyze media attention with regression methods and find a significant gender gap, except for incumbents. Second, we use structural topic models to identify the main themes of newspaper coverage and how they covary with the candidates’ gender. Controversies and scandals are discussed disproportionately together with male candidates, while reporting on the electoral contest occurs disproportionately in connection with female candidates. Third, we use the same technique to search for gender stereotypes in the election coverage. Across 100 topics, we find only faint evidence of their presence.",oai:www.zora.uzh.ch:150674,Gender Equality,Aims to achieve gender equality and empower all women and girls.
11,"A shift from driving a car to unprotected modes of transport can - and probably will - be the effect of these measures which might be detrimental for older persons, as using these modes tends to be far more dangerous for them than driving a car (Hakamies-Blomqvist et al. Practice in European countries on the licensing of older drivers varies greatly. Some countries require renewal of the driving license at a certain age, whereas others do not. Those countries that do often require some sort of medical examination (Table 7.3).",,,
